,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
73372,Accident,2013-04-01,"Fort Lauderdale, FL",United States,Fort Lauderdale Executive,Non-Fatal,Substantial,Cessna,402C,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 402C
73390,Accident,2013-04-07,"Unkown, Unkown",Unknown,Unknown,Fatal,Destroyed,Beech,1900,No,1.1114300626304803,Unknown,Positioning,1.0,0.0,0.0,0.0,Unknown,Unknown,1.0,Beech 1900
73449,Accident,2013-04-24,"Bowling Green, MO",United States,Bowling Green Municipal Airpor,Non-Fatal,Substantial,Air Tractor Inc,AT-301,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Air Tractor Inc AT-301
73452,Incident,2013-04-24,"Clearwater, FL",United States,St Petersburg-Clearwater Inter,Non-Fatal,Minor,Piaggio,P180,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,6.0,VMC,Unknown,6.0,Piaggio P180
73459,Accident,2013-04-26,"Hoxie, KS",United States,Unknown,Non-Fatal,Substantial,Raytheon Aircraft Company,G36,No,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Raytheon Aircraft Company G36
73550,Accident,2013-05-13,"McMinnville, OR",United States,McMinnville,Non-Fatal,Substantial,Gates Learjet Corp.,35A,No,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Gates Learjet Corp. 35A
73561,Accident,2013-05-15,"Pine Bluffs, WY",United States,Pine Bluffs Municipal Airport,Non-Fatal,Substantial,Cessna,T188C,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna T188C
73773,Accident,2013-06-24,"San Diego, CA",United States,Montgomery Field Airport,Non-Fatal,Substantial,Cessna,182T,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 182T
73785,Accident,2013-06-26,"Wheeling, IL",United States,Chicago Executive Airport,Non-Fatal,Substantial,Beech,200,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Beech 200
74063,Accident,2013-08-12,"West Yellowstone, MT",United States,Yellowstone Airport,Fatal,Substantial,Beech,E35,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Unknown,2.0,Beech E35
74084,Accident,2013-08-16,"Brooklyn, IA",United States,Unknown,Fatal,Minor,Cessna,206,No,1.0,Reciprocating,Positioning,1.0,0.0,0.0,1.0,VMC,Unknown,2.0,Cessna 206
74085,Accident,2013-08-16,"Sleetmute, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,185,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Cessna 185
74136,Accident,2013-08-27,"Paris, IL",United States,Edgar County Airport,Fatal,Destroyed,Cessna,421C,No,2.0,Turbo Prop,Business,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 421C
74140,Accident,2013-08-27,"Bethel, AK",United States,Unknown,Non-Fatal,Substantial,Dehavilland,DHC-2 MK. I(L20A),No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Dehavilland DHC-2 MK. I(L20A)
74289,Accident,2013-09-23,"Mack, CO",United States,Mack Mesa Airport,Non-Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Business,0.0,1.0,0.0,2.0,VMC,Unknown,3.0,Cirrus Design Corp SR22
74345,Incident,2013-10-08,"Tallahassee, FL",United States,TALLAHASSEE RGNL,Non-Fatal,Minor,Piper,PA 46 350P,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA 46 350P
74362,Accident,2013-10-12,"Lincoln, NE",United States,LINCOLN,Non-Fatal,Substantial,Cessna,525A,No,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 525A
74386,Accident,2013-10-18,"Derby, KS",United States,Unknown,Fatal,Destroyed,Cessna,500,No,2.0,Turbo Fan,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Cessna 500
74387,Accident,2013-10-18,"Clayton, OK",United States,Unknown,Fatal,Substantial,Cessna,177,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 177
74516,Accident,2013-11-20,"Fort Lauderdale, FL",United States,FORT LAUDERDALE/HOLLYWOOD INTL,Fatal,Destroyed,Learjet,35,No,2.0,Turbo Fan,Positioning,4.0,0.0,0.0,0.0,VMC,Unknown,4.0,Learjet 35
74652,Accident,2014-01-11,"Waterford, MI",United States,Oakland County International A,Fatal,Destroyed,Cessna,310R,No,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Cessna 310R
74658,Accident,2014-01-14,"Savannah, GA",United States,Savannah/Hilton Head Intl,Non-Fatal,Substantial,Israel Aircraft Industries,GULFSTREAM 200,No,2.0,Turbo Fan,Flight Test,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Israel Aircraft Industries GULFSTREAM 200
74679,Accident,2014-01-23,"Ashland, MO",United States,COLUMBIA RGNL,Non-Fatal,Substantial,Cessna,414A,No,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 414A
74685,Accident,2014-01-25,"Mt. Morris, IL",United States,Unknown,Non-Fatal,Substantial,Cessna,R182,No,1.0,Reciprocating,Positioning,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,Cessna R182
74694,Accident,2014-01-27,"Columbia, CA",United States,COLUMBIA,Non-Fatal,Substantial,Beech,C90,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Beech C90
74716,Accident,2014-02-04,"Elk City, OK",United States,ELK CITY RGNL BUSINESS,Non-Fatal,Substantial,Cessna,525,No,2.0,Turbo Fan,Business,0.0,0.0,0.0,7.0,IMC,Unknown,7.0,Cessna 525
74818,Incident,2014-03-13,"Rochester, NY",United States,GREATER ROCHESTER INTL,Non-Fatal,Minor,Raytheon Aircraft Company,400A,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,7.0,VMC,Unknown,7.0,Raytheon Aircraft Company 400A
74853,Accident,2014-03-21,"Philadelphia, PA",United States,NORTHEAST PHILADELPHIA,Non-Fatal,Substantial,Cessna,206H,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 206H
74913,Accident,2014-04-06,"Lee's Summit, MO",United States,Unknown,Non-Fatal,Substantial,Cessna,T210M,No,1.0,Reciprocating,Other Work Use,0.0,0.0,2.0,0.0,VMC,Unknown,2.0,Cessna T210M
74931,Accident,2014-04-11,"Louisa, VA",United States,Louisa County,Non-Fatal,Substantial,Cessna,U206G,No,1.0,Reciprocating,Other Work Use,0.0,1.0,1.0,0.0,VMC,Unknown,2.0,Cessna U206G
74932,Accident,2014-04-11,"West Chicago, IL",United States,DuPage County Airport,Non-Fatal,Substantial,Piper,PA 46-350P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA 46-350P
74940,Accident,2014-04-13,"Aguas Buenas, PR",United States,Unknown,Non-Fatal,Substantial,Piper,PA-18-135,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-18-135
75008,Accident,2014-04-30,"Para, Brazil",Brazil,Unknown,Fatal,Destroyed,Cessna,T210N,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Cessna T210N
75062,Incident,2014-05-13,"Sugar Land, TX",United States,Sugar Land Regional Airport,Non-Fatal,Minor,Raytheon Aircraft Company,400A,No,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,2.0,UNK,Unknown,2.0,Raytheon Aircraft Company 400A
75163,Accident,2014-06-01,"Bedford, MA",United States,LAURENCE G HANSCOM FLD,Fatal,Destroyed,Gulfstream Aerospace,G IV,No,2.0,Turbo Fan,Executive/corporate,7.0,0.0,0.0,0.0,VMC,Unknown,7.0,Gulfstream Aerospace G IV
75175,Accident,2014-06-03,"Monroe, LA",United States,MONROE REGIONAL,Non-Fatal,Substantial,Beech,H35,No,1.0,Reciprocating,Flight Test,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,Beech H35
75229,Accident,2014-06-13,"Aruana, Brazil",Brazil,Fazenda Europa,Non-Fatal,Substantial,Cessna,525,No,1.1114300626304803,Unknown,Executive/corporate,0.0,6.0,1.0,0.0,Unknown,Unknown,7.0,Cessna 525
75250,Accident,2014-06-16,"Pleasanton, TX",United States,Pleasanton Municipal,Non-Fatal,Substantial,Cessna,414,No,2.0,Reciprocating,Business,0.0,5.0,0.0,1.0,VMC,Unknown,6.0,Cessna 414
75281,Accident,2014-06-20,"Egegik, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,208B,No,1.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 208B
75316,Accident,2014-06-25,"Houston, MS",United States,Houston Municipal,Non-Fatal,Substantial,Raytheon Aircraft Company,C90A,No,2.0,Turbo Prop,Executive/corporate,0.0,2.0,0.0,3.0,VMC,Unknown,5.0,Raytheon Aircraft Company C90A
75320,Accident,2014-06-25,"Iliamna, AK",United States,Unknown,Non-Fatal,Minor,Dehavilland,DHC 2,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Dehavilland DHC 2
75421,Accident,2014-07-14,"Durango, CO",United States,DURANGO-LA PLATA COUNTY,Non-Fatal,Substantial,Mooney Airplane Co Inc,M20TN,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Mooney Airplane Co Inc M20TN
75435,Incident,2014-07-17,"Bakersfield, CA",United States,Meadows Field Airport,Non-Fatal,Minor,Beech,B100,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Beech B100
75523,Accident,2014-07-31,"Talkeetna, AK",United States,High Lake Lodge,Non-Fatal,Substantial,Dehavilland,DHC 2,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Dehavilland DHC 2
75536,Accident,2014-08-02,"Statesville, NC",United States,Statesville Regional,Non-Fatal,Substantial,Piper,PA-46-350P,No,1.0,Reciprocating,Business,0.0,2.0,0.0,2.0,IMC,Unknown,4.0,Piper PA-46-350P
75556,Accident,2014-08-06,"Saint Jean les Deux Jumeaux, France",France,Unknown,Fatal,Destroyed,Socata,TBM 700,No,1.0,Turbo Prop,Business,2.0,0.0,3.0,0.0,Unknown,Unknown,5.0,Socata TBM 700
75599,Accident,2014-08-13,"Santos, Brazil",Brazil,Base Aerea De Santos,Fatal,Destroyed,Cessna,560XL,No,2.0,Turbo Fan,Other Work Use,7.0,0.0,0.0,0.0,IMC,Unknown,7.0,Cessna 560XL
75608,Accident,2014-08-14,"Wiggins, MS",United States,Unknown,Non-Fatal,Substantial,Cessna,T206H,No,1.0,Reciprocating,Business,0.0,3.0,0.0,0.0,VMC,Unknown,3.0,Cessna T206H
75630,Accident,2014-08-18,"Freeport, Bahamas",Bahamas,Grand Bahama International,Fatal,Destroyed,Cessna,340A,No,2.0,Reciprocating,Business,4.0,0.0,0.0,0.0,VMC,Unknown,4.0,Cessna 340A
75643,Accident,2014-08-20,"Milton, FL",United States,PETER PRINCE FIELD,Non-Fatal,Substantial,Raytheon Aircraft Company,G36,No,1.0,Reciprocating,Business,0.0,2.0,0.0,3.0,VMC,Unknown,5.0,Raytheon Aircraft Company G36
75680,Accident,2014-08-27,"El Dorado, KS",United States,El Dorado/Captain Jack Thomas,Non-Fatal,Substantial,Cessna,310K,No,2.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 310K
75770,Accident,2014-09-13,"Aniak, AK",United States,None,Non-Fatal,Substantial,Piper,PA 18-150,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA 18-150
75892,Accident,2014-10-07,"Glenham, SD",United States,Unknown,Non-Fatal,Substantial,Piper,PA 31-350,No,2.0,Reciprocating,Positioning,0.0,1.0,0.0,1.0,VMC,Unknown,2.0,Piper PA 31-350
75897,Accident,2014-10-09,"Cordova, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA 18-150,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA 18-150
75954,Accident,2014-10-23,"Louisburg, NC",United States,Traingle North Executive Arpt,Non-Fatal,Substantial,Cessna,A188B,No,1.1114300626304803,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna A188B
76016,Accident,2014-11-09,"Freeport, Bahamas",Bahamas,Grand Bahama International,Fatal,Destroyed,Gates Learjet Corp.,35A,No,2.0,Turbo Fan,Executive/corporate,9.0,0.0,0.0,0.0,IMC,Unknown,9.0,Gates Learjet Corp. 35A
76082,Accident,2014-12-02,"Wachula, FL",United States,WAUCHULA MUNI,Non-Fatal,Substantial,Piper,PA-46-310P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-46-310P
76265,Incident,2015-02-08,"Eagle, CO",United States,Eagle County Regional,Non-Fatal,Minor,Gulfstream Aerospace,G IV,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,7.0,VMC,Unknown,7.0,Gulfstream Aerospace G IV
76274,Accident,2015-02-10,"Mammoth Lakes, CA",United States,MAMMOTH YOSEMITE,Non-Fatal,Substantial,Raytheon Aircraft Company,B300,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Raytheon Aircraft Company B300
76277,Accident,2015-02-11,"Miami, FL",United States,Miami Executive Airport,Fatal,Destroyed,Beech,1900,No,2.0,Turbo Prop,Positioning,4.0,0.0,0.0,0.0,VMC,Unknown,4.0,Beech 1900
76281,Accident,2015-02-12,"Akron, OH",United States,AKRON FULTON INTL,Non-Fatal,Substantial,Piper,PA 46-350P,No,1.1114300626304803,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA 46-350P
76297,Accident,2015-02-16,"Chicago, IL",United States,Chicago Midway International,Non-Fatal,Substantial,Piper,PA 31-350,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA 31-350
76340,Accident,2015-03-04,"Monroe, NC",United States,Charlotte-Monroe County,Non-Fatal,Substantial,Beech,58,No,2.0,Reciprocating,Business,0.0,0.0,0.0,4.0,IMC,Unknown,4.0,Beech 58
76422,Accident,2015-03-24,"Verdigris, OK",United States,Unknown,Non-Fatal,Substantial,Cessna,208B,No,1.0,Turbo Prop,Flight Test,0.0,1.0,0.0,1.0,VMC,Unknown,2.0,Cessna 208B
76475,Accident,2015-04-04,"Honolulu, HI",United States,Honolulu International Airport,Non-Fatal,Substantial,Cessna,206H,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 206H
76488,Accident,2015-04-10,"Caribbean Sea, UN",UN,Unknown,Non-Fatal,Substantial,Gulfstream Aerospace,G IV,No,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Gulfstream Aerospace G IV
76588,Accident,2015-05-04,"Roxboro, NC",United States,PERSON COUNTY,Non-Fatal,Substantial,Cessna,177B,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 177B
76600,Accident,2015-05-07,"Spokane, WA",United States,FELTS FIELD,Fatal,Destroyed,Piper,PA 46 350P,No,1.0,Turbo Prop,Flight Test,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Piper PA 46 350P
76629,Accident,2015-05-15,"Piggott, AR",United States,Piggott Muncipal,Non-Fatal,Substantial,Cessna,T206H,No,1.0,Reciprocating,Business,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,Cessna T206H
76679,Accident,2015-05-27,"Port Alsworth, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,U206G,No,1.0,Reciprocating,Business,0.0,1.0,0.0,2.0,VMC,Unknown,3.0,Cessna U206G
76701,Accident,2015-05-30,"Bethel, AK",United States,Unknown,Fatal,Substantial,Cessna,207,No,1.0,Reciprocating,Flight Test,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 207
76821,Accident,2015-06-22,"Grosse Ile, MI",United States,GROSSE ILE MUNI,Non-Fatal,Substantial,Gates Learjet Corp.,35A,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Gates Learjet Corp. 35A
76889,Accident,2015-07-03,"Wasilla, AK",United States,Tidewater Airport,Non-Fatal,Substantial,Piper,PA-18,No,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-18
76913,Accident,2015-07-07,"Houston, TX",United States,GEORGE BUSH INTERCONTINENTAL/H,Non-Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Cirrus Design Corp SR22
76939,Accident,2015-07-12,"South St. Paul, MN",United States,South St. Paul Municipal Airpo,Non-Fatal,Substantial,Cessna,340,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,IMC,Unknown,1.0,Cessna 340
76997,Accident,2015-07-22,"Kasilof, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,U206F,No,1.1114300626304803,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna U206F
76999,Accident,2015-07-22,"Talkeetna, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA 18-150,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA 18-150
77086,Accident,2015-08-05,"Spanish Fork, UT",United States,SPANISH FORK-SPRINGVILLE-WOODH,Non-Fatal,Substantial,Cessna,560XL,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 560XL
77098,Accident,2015-08-07,"Montecito, CA",United States,Unknown,Fatal,Substantial,Cessna,182F,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Cessna 182F
77150,Accident,2015-08-15,"West Caldwell, NJ",United States,Essex County,Fatal,Destroyed,Cessna,T206H,No,1.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna T206H
77224,Incident,2015-08-27,"Joliet, IL",United States,Unknown,Non-Fatal,Minor,Piper,PA-23-250,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-23-250
77234,Accident,2015-08-28,"Las Vegas, NV",United States,McCarran International,Non-Fatal,Substantial,Beech,C90,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,5.0,VMC,Unknown,5.0,Beech C90
77298,Accident,2015-09-10,"Myakka City, FL",United States,Unknown,Non-Fatal,Substantial,Mooney Airplane Co Inc,M20TN,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Mooney Airplane Co Inc M20TN
77353,Accident,2015-09-21,"Platteville, WI",United States,PLATTEVILLE MUNI,Non-Fatal,Substantial,Cessna,421B,No,2.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Cessna 421B
77468,Accident,2015-10-14,"Hammond, LA",United States,HAMMOND NORTHSHORE RGNL,Fatal,Destroyed,Cessna,421B,No,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Cessna 421B
77520,Accident,2015-10-26,"Weston, FL",United States,Unknown,Fatal,Substantial,Piper,PA31,No,2.0,Reciprocating,Business,1.0,1.0,0.0,1.0,VMC,Unknown,3.0,Piper PA31
77561,Accident,2015-11-06,"Atlanta, GA",United States,DeKalb-Peachtree,Non-Fatal,Substantial,Cessna,P210,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna P210
77579,Accident,2015-11-11,"Grand Forks, ND",United States,GRAND FORKS INTERNATIONAL,Non-Fatal,Substantial,Cessna,208B,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,10.0,IMC,Unknown,10.0,Cessna 208B
77719,Accident,2015-12-23,"Tahlequah, OK",United States,Tahlequah Municipal Airport,Non-Fatal,Substantial,Beech,V35B,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Beech V35B
77766,Accident,2016-01-08,"Fargo, ND",United States,Hector International Airport,Non-Fatal,Substantial,Cessna,441,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,IMC,Unknown,1.0,Cessna 441
77799,Accident,2016-01-19,"Wichita, KS",United States,COLONEL JAMES JABARA,Non-Fatal,Substantial,Socata,TBM700,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Socata TBM700
77816,Accident,2016-01-27,"Bakersfield, CA",United States,Meadows Field,Non-Fatal,Substantial,Cessna,340A,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 340A
77819,Accident,2016-01-27,"Lawrenceville, GA",United States,GWINNETT COUNTY - BRISCOE FIEL,Non-Fatal,Substantial,Pilatus,PC12,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Pilatus PC12
77890,Accident,2016-02-19,"Marshville, NC",United States,Unknown,Fatal,Substantial,Beech,A36,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Beech A36
77896,Accident,2016-02-22,"Saint Francois, Guadeloupe",Guadeloupe,Unknown,Non-Fatal,Destroyed,Piper,PA23,No,2.0,Unknown,Positioning,0.0,0.0,0.0,1.0,Unknown,Unknown,1.0,Piper PA23
77967,Incident,2016-03-14,"Lugano, Eswatini",Eswatini,Lugano,Non-Fatal,Minor,Cessna,525,No,2.0,Unknown,Executive/corporate,0.0,0.0,0.0,6.0,Unknown,Unknown,6.0,Cessna 525
77969,Accident,2016-03-14,"Rome, GA",United States,RICHARD B RUSSELL REGIONAL - J,Non-Fatal,Substantial,Raytheon Aircraft Company,400A,No,2.0,Turbo Fan,Positioning,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Raytheon Aircraft Company 400A
78287,Accident,2016-05-24,"Texarkana, AR",United States,Unknown,Non-Fatal,Substantial,Cessna,501,No,2.0,Turbo Fan,Executive/corporate,0.0,3.0,0.0,1.0,VMC,Unknown,4.0,Cessna 501
78353,Accident,2016-06-06,"Fairbanks, AK",United States,Unknown,Non-Fatal,Substantial,Air Tractor Inc,AT 802,No,1.0,Turbo Prop,Other Work Use,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Air Tractor Inc AT 802
78388,Accident,2016-06-10,"Apopka, FL",United States,Orlando Apopka Airport,Non-Fatal,Substantial,Cessna,310,No,2.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 310
78430,Accident,2016-06-17,"Goodnews Bay, AK",United States,GOODNEWS,Non-Fatal,Substantial,Cessna,207,No,1.0,Reciprocating,Positioning,0.0,0.0,1.0,0.0,IMC,Unknown,1.0,Cessna 207
78451,Accident,2016-06-19,"South Bimini, Bahamas",Bahamas,Unknown,Fatal,Destroyed,Piper,PA 23-250,No,2.0,Reciprocating,Flight Test,2.0,0.0,0.0,0.0,Unknown,Unknown,2.0,Piper PA 23-250
78630,Accident,2016-07-19,"Illiamna, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,A185,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Cessna A185
78700,Accident,2016-07-31,"Sleetmute, AK",United States,SLEETMUTE,Non-Fatal,Substantial,Cessna,U206G,No,1.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC,Unknown,5.0,Cessna U206G
78807,Accident,2016-08-17,"Sleetmute, AK",United States,Alaska Adventures Airstrip,Non-Fatal,Substantial,Cessna,U206,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna U206
78852,Accident,2016-08-26,"Wichita Falls, TX",United States,KICKAPOO DOWNTOWN,Non-Fatal,Substantial,Beech,58,No,2.0,Reciprocating,Flight Test,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Beech 58
78875,Accident,2016-08-31,"Sparks, NV",United States,Reno/Tahoe International,Fatal,Destroyed,Beech,A36,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Beech A36
78883,Accident,2016-09-01,"Sorriso, Brazil",Brazil,Santa Anastacia Airport,Fatal,Destroyed,Air Tractor,AT502,No,1.0,Turbo Prop,Other Work Use,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Air Tractor AT502
78997,Accident,2016-09-21,"Jackson, TN",United States,MC KELLAR-SIPES RGNL,Non-Fatal,Substantial,Beech,B100,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Beech B100
79071,Accident,2016-10-04,"Galesburg, IL",United States,GALESBURG MUNI,Non-Fatal,Substantial,Cessna,T182,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna T182
79087,Accident,2016-10-06,"Hanna, WY",United States,Unknown,Non-Fatal,Substantial,Piper,PA18,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA18
79110,Accident,2016-10-13,"Pawtucket, RI",United States,NORTH CENTRAL STATE,Non-Fatal,Substantial,Cessna,525,No,2.0,Turbo Fan,Business,0.0,0.0,0.0,6.0,IMC,Unknown,6.0,Cessna 525
79151,Accident,2016-10-20,"Anchorage, AK",United States,MERRILL FIELD,Non-Fatal,Substantial,Cessna,A185,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna A185
79167,Accident,2016-10-23,"Kirksville, MO",United States,KIRKSVILLE RGNL,Non-Fatal,Substantial,Cirrus,SR22,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cirrus SR22
79203,Accident,2016-10-31,"Baton Rouge, LA",United States,Baton Rouge Metropolitan,Non-Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cirrus Design Corp SR22
79298,Accident,2016-12-01,"Fargo, ND",United States,Hector International,Fatal,Destroyed,Cessna,340,No,2.0,Reciprocating,Other Work Use,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 340
79299,Accident,2016-12-01,"Scottsdale, AZ",United States,SCOTTSDALE,Non-Fatal,Substantial,Aero Commander,690,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Aero Commander 690
79319,Accident,2016-12-05,"Port Aransas, TX",United States,CORPUS CHRISTI INTL,Non-Fatal,Substantial,Cessna,550,No,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 550
